"address_1","nyc_borough_block_and_lot_bbl","year_built","number_of_buildings","largest_property_use_type","largest_property_use_type_gross_floor_area_ft","_2nd_largest_property_use_type","_2nd_largest_property_use_gross_floor_area_ft","_3rd_largest_property_use_type","_3rd_largest_property_use_type_gross_floor_area_ft","total_ghg_emissions_metric_tons_co2e","energy_star_score","reason_s_for_no_score","property_gfa_self_reported_ft","office_gross_floor_area_ft","multifamily_housing_gross_floor_area_ft","parking_gross_floor_area_ft","retail_store_gross_floor_area_ft","supermarket_grocery_gross_floor_area_ft","property_gfa_calculated_buildings_ft","property_gfa_calculated_parking_ft","fuel_oil_2_use_kbtu","fuel_oil_4_use_kbtu","diesel_2_use_kbtu","district_steam_use_kbtu","natural_gas_use_kbtu","natural_gas_use_therms","electricity_use_grid_purchase_kwh"
"1 Rockefeller Plaza","1-01264-0005","1939","1","Office","488084","Retail Store","80522","Not Available","Not Available","4374.9","43","Not Available","568606","488084","Not Available","Not Available","80522","Not Available","568606","Not Available","Not Available","Not Available","Not Available","18475173.6","Not Available","Not Available","5780885.6"
"1 State Street","1000090001","1969","1","Office","847751","Retail Store","5089","Not Available","Not Available","3659.1","83","Not Available","852840","847751","Not Available","Not Available","5089","Not Available","852840","Not Available","Not Available","Not Available","Not Available","15581691.5","Not Available","Not Available","9679760.5"
"1 Times Square","1009950001","1908","1","Retail Store","93263","Office","39657","Not Available","Not Available","1636","7","Not Available","132920","39657","Not Available","Not Available","93263","Not Available","132920","Not Available","Not Available","Not Available","Not Available","3856232.7","Not Available","Not Available","5089622.9"
"1 United Nations Plaza","1013377502","1975","1","Office","595080","Not Available","Not Available","Not Available","Not Available","4058.2","45","Not Available","595080","595080","Not Available","Not Available","Not Available","Not Available","595080","Not Available","Not Available","Not Available","Not Available","25650734.5","1374637.3","13746.37262","8416798.9"
"1 United Nations Plaza","1-01337-7502","1975","1","Office","373334","Hotel","208520","Bank Branch","5146","4002.3","64","Not Available","587000","373334","Not Available","Not Available","Not Available","Not Available","587000","Not Available","Not Available","Not Available","Not Available","25650723.6","402347.6","4023.475618","8401101"
"1 West 39th Street","1008410031","1984","1","Office","125516","Data Center","9816","Not Available","Not Available","1580.5","99","Not Available","135332","125516","Not Available","Not Available","Not Available","Not Available","135332","Not Available","Not Available","Not Available","Not Available","3024927.5","Not Available","Not Available","5088393.6"
"1 West 53rd Street","1012690030","1913","1","Worship Facility","64937","Not Available","Not Available","Not Available","Not Available","188.7","57","Not Available","64937","Not Available","Not Available","Not Available","Not Available","Not Available","64937","Not Available","Not Available","Not Available","Not Available","1647959.4","168034.3","1680.343494","259642"
"1 West End Avenue","1-01171-7511","2014","1","Multifamily Housing","846468","Residence Hall/Dormitory","59698","Parking","38468","5623.4","19","Not Available","930605","Not Available","846468","38468","24439","Not Available","930605","38468","Not Available","Not Available","Not Available","35124679.2","33518961.9","335189.6187","5572368.4"
"1 Whitehall Street","1000100023","1962","1","Office","316494","Retail Store","5500","Not Available","Not Available","1533","89","Not Available","321994","316494","Not Available","Not Available","5500","Not Available","321994","Not Available","Not Available","Not Available","Not Available","12782114.2","Not Available","Not Available","2523734.7"
"200 Central Park South","1-01030-0029","1963","1","Multifamily Housing","475426","Parking","59484","Retail Store","29286","1564.7","92","Not Available","504712","Not Available","475426","59484","29286","Not Available","504712","59484","Not Available","Not Available","Not Available","1711472.8","13876552.4","138765.5236","2633629.9"
"200 Central Park West","1011300001","1877","1","Museum","1500000","Parking","111700","Not Available","Not Available","13423.4","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","1500000","Not Available","Not Available","111700","Not Available","Not Available","1500000","111700","Not Available","Not Available","Not Available","96446784","1616416","16164.16006","25573178.7"
"200 East 36th Street","1-00916-0061","1955","1","Multifamily Housing","118007","Retail Store","6800","Not Available","Not Available","505.7","84","Not Available","124807","Not Available","118007","Not Available","6800","Not Available","124807","Not Available","Not Available","Not Available","Not Available","5149480.4","264492","2644.920319","552166.4"
"200  East  42nd  St.","1013150001","1956","1","Office","366528","Retail Store","15789","Bank Branch","2115","6184.2","11","Not Available","384432","366528","Not Available","Not Available","15789","Not Available","384432","Not Available","Not Available","Not Available","Not Available","75992330.6","Not Available","Not Available","4198817"
"200 East 57th Street","1-01330-0004","1960","1","Multifamily Housing","374277","Retail Store","35055","Parking","32058","1695.9","59","Not Available","409332","Not Available","374277","32058","35055","Not Available","409332","32058","Not Available","Not Available","Not Available","7624645.6","8311192.5","83111.92525","2759683.8"
"200 East 58th St","1-01331-7501","1961","1","Multifamily Housing","124726","Office","26482","Retail Store","12085","579.1","81","Not Available","166103","26482","124726","Not Available","12085","Not Available","166103","Not Available","Not Available","Not Available","Not Available","5188726.5","384686.5","3846.864905","789649.7"
"200 East 61st Street","1014157501","1984","1","Multifamily Housing","320566","Retail Store","24886","Parking","21848","3344","Not Available","Single Store is marked as No","345452","Not Available","320566","21848","24886","Not Available","345452","43696","Not Available","Not Available","Not Available","38140268.7","230876.8","2308.767746","2947817.3"
"200 East 62nd Street","1-01416-7501","1967","1","Multifamily Housing","243000","Not Available","Not Available","Not Available","Not Available","1498.1","16","Not Available","243000","Not Available","243000","Not Available","Not Available","Not Available","243000","Not Available","Not Available","Not Available","Not Available","16099663.3","32270.9","322.709087","1576168.2"
"200 East 69 Street","1014237501","1999","1","Multifamily Housing","483495","Parking","60000","Not Available","Not Available","2797.7","22","Not Available","483495","Not Available","483495","60000","Not Available","Not Available","483495","60000","Not Available","Not Available","Not Available","30929787.2","239744.3","2397.443152","2697172.7"
"200 East 74 Street","1-01428-0045","1962","1","Multifamily Housing","198285","Parking","9279","Retail Store","5850","952.5","41","Not Available","204135","Not Available","198285","9279","5850","Not Available","204135","9279","Not Available","Not Available","Not Available","3885040.5","5902299.9","59022.99888","1405255.1"
"200 Fifth Avenue","1-00825-0031","1910","1","Office","720042","Retail Store","49327","Restaurant","5334","4625.2","55","Not Available","774703","720042","Not Available","Not Available","49327","Not Available","774703","Not Available","Not Available","Not Available","Not Available","10678507.7","5687066.2","56870.66164","13329823"
"200 Liberty Street","1-00016-0120","1986","1","Office","1412074","Data Center","73536","Parking","50000","2121.3","75","Not Available","1485610","1412074","Not Available","50000","Not Available","Not Available","1485610","50000","Not Available","Not Available","Not Available","31776721.3","214599","2145.990304","20235305.4"
"200 Madison","1008650014","1926","1","Office","603877","Retail Store","28694","Fitness Center/Health Club/Gym","25269","3303","67","Not Available","659245","603877","Not Available","Not Available","28694","Not Available","659245","Not Available","Not Available","Not Available","Not Available","16471167.7","Not Available","Not Available","8148742.9"
"200 Park Ave","1-01280-9010","1963","1","Office","1733828","Financial Office","1213929","Parking","69235","21770.6","51","Not Available","2993388","1733828","Not Available","69235","Not Available","Not Available","2993388","69235","Not Available","Not Available","Not Available","180848015","3020611.9","30206.11933","35415479.7"
"200 Vesey Street","1000160140","1986","1","Office","1667426","Financial Office","412994","Restaurant","69894","11221.2","Not Available","There is not 12 full months of meter data","2288303","1667426","Not Available","Not Available","52714","Not Available","2288303","Not Available","Not Available","Not Available","276138","36655801.5","43626.7","436.2666677","22569611.4"
"201/205  East  42nd  st.","1013167501","1963","1","Office","458979","Not Available","Not Available","Not Available","Not Available","4387.4","30","Not Available","458979","458979","Not Available","Not Available","Not Available","Not Available","458979","Not Available","Not Available","Not Available","Not Available","42925376.6","1608198.8","16081.98787","5354540.9"
